docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
3877;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MEHP/courses/index.html;MEHP Course sequence and descriptions;http://archive.education.jhu.edu/Academics/masters/MEHP/courses/index.html;
3884;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSE/administration/index.html;School of Education at Johns Hopkins University-School Administration and Supervision;http://archive.education.jhu.edu/Academics/masters/MSE/administration/index.html;
3440;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSE/gifted/index.html;Master of Science (MS) in Education with a concentration in Gifted Education | Johns Hopkins University School of Education;http://archive.education.jhu.edu/Academics/masters/MSE/gifted/index.html;
3251;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSE/index.html;School of Education at Johns Hopkins University-Master of Science in Education;http://archive.education.jhu.edu/Academics/masters/MSE/index.html;
3393;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSE/reading/index.html;Master of Science in Reading;http://archive.education.jhu.edu/Academics/masters/MSE/reading/index.html;
2934;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSE/technology/index.html;School of Education at Johns Hopkins University-Technology for Educators;http://archive.education.jhu.edu/Academics/masters/MSE/technology/index.html;
3368;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSSpEd/Admission Requirements;Admission Requirements;http://archive.education.jhu.edu/Academics/masters/MSSpEd/Admission Requirements;
3408;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSSpEd/Comprehensive Exam and Graduate Project Descriptions;Comprehensive Exam and Graduate Project Descriptions;http://archive.education.jhu.edu/Academics/masters/MSSpEd/Comprehensive Exam and Graduate Project Descriptions;
3489;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MSSpEd/index.html;School of Education at Johns Hopkins University-Master of Science in Special Education;http://archive.education.jhu.edu/Academics/masters/MSSpEd/index.html;
3632;0;Web:jhuedu-education;http://archive.education.jhu.edu/index.html;Johns Hopkins School of Education - Home;http://archive.education.jhu.edu/index.html;
2751;0;Web:jhuedu-education;http://archive.education.jhu.edu/research/CTE/Programs/birthto21/index.html;Birth–21 Research and Development;http://archive.education.jhu.edu/research/CTE/Programs/birthto21/index.html;
2338;0;Web:jhuedu-education;http://archive.education.jhu.edu/research/CTE/Programs/decisions/index.html;Data Systems to Inform Decision-Making;http://archive.education.jhu.edu/research/CTE/Programs/decisions/index.html;
3918;0;Web:jhuedu-education;http://archive.education.jhu.edu/research/crre/Evaluation Services/index.html;Evaluation Services;http://archive.education.jhu.edu/research/crre/Evaluation Services/index.html;
1825;0;Web:jhuedu-education;http://archive.education.jhu.edu/research/nei/index.html;School of Education at Johns Hopkins University-Neuro Education Initiative;http://archive.education.jhu.edu/research/nei/index.html;
31694;0;Web:jhuedu-singlepages;http://arthist.jhu.edu/;Department of the History of Art;http://arthist.jhu.edu/;
31148;0;Web:jhuedu-singlepages;http://bio.jhu.edu/;Department of Biology;http://bio.jhu.edu/;
31586;0;Web:jhuedu-singlepages;http://biophysics.jhu.edu/;Thomas C. Jenkins Department of Biophysics;http://biophysics.jhu.edu/;
31523;0;Web:jhuedu-singlepages;http://cbi.jhu.edu/;Chemistry-Biology Interface Program;http://cbi.jhu.edu/;
31279;0;Web:jhuedu-singlepages;http://classics.jhu.edu/;Department of Classics;http://classics.jhu.edu/;
31651;0;Web:jhuedu-singlepages;http://cmdb.jhu.edu/;Doctoral Program in Cell, Molecular, Developmental Biology, and Biophysics;http://cmdb.jhu.edu/;
31413;0;Web:jhuedu-singlepages;http://cogsci.jhu.edu/;Department of Cognitive Science;http://cogsci.jhu.edu/;
31207;0;Web:jhuedu-singlepages;http://compthoughtlit.jhu.edu/;Department of Comparative Thought and Literature;http://compthoughtlit.jhu.edu/;
14967;0;Web:jhuedu-libraries;http://dms.data.jhu.edu/;Data Management Services;http://dms.data.jhu.edu/;
31623;0;Web:jhuedu-singlepages;http://econ.jhu.edu/;Department of Economics;http://econ.jhu.edu/;
14511;0;Web:jhuedu-education;http://education.jhu.edu/;Education +Innovation;http://education.jhu.edu/;
14560;0;Web:jhuedu-education;http://education.jhu.edu/about-us/directory/;Directory;http://education.jhu.edu/about-us/directory/;
16106;0;Web:jhuedu-education;http://education.jhu.edu/academics/;Academics;http://education.jhu.edu/academics/;
14549;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/;Academic Catalog;http://education.jhu.edu/academics/academic-catalog/;
16555;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/2017-2018-academic-calendar/;2017-2018 Academic Calendar;http://education.jhu.edu/academics/academic-catalog/2017-2018-academic-calendar/;
15989;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/2018-2019-academic-calendar/;2018-2019 Academic Calendar;http://education.jhu.edu/academics/academic-catalog/2018-2019-academic-calendar/;
15403;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/academic-catalog-introduction/;Academic Catalog: About Us;http://education.jhu.edu/academics/academic-catalog/academic-catalog-introduction/;
15667;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/academic-policies/;Academic Catalog: Academic and Student Policies;http://education.jhu.edu/academics/academic-catalog/academic-policies/;
15956;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/administration/;Academic Catalog: Administration;http://education.jhu.edu/academics/academic-catalog/administration/;
16395;0;Web:jhuedu-education;http://education.jhu.edu/academics/academic-catalog/admission-registration-and-finances/;Academic Catalog: Admission, Registration, and Finances;http://education.jhu.edu/academics/academic-catalog/admission-registration-and-finances/;
